token,count_target,count_other,rate_target_per1k,rate_other_per1k,diff_per1k
秋,3,6,1.6163793103448276,1.201923076923077,0.41445623342175053
容,3,6,1.6163793103448276,1.201923076923077,0.41445623342175053
列,3,6,1.6163793103448276,1.201923076923077,0.41445623342175053
傳,7,17,3.771551724137931,3.405448717948718,0.366103006189213
才,4,9,2.155172413793103,1.8028846153846154,0.3522877984084878
筵,4,9,2.155172413793103,1.8028846153846154,0.3522877984084878
誰,5,12,2.6939655172413794,2.403846153846154,0.29011936339522526
唯,2,4,1.0775862068965516,0.8012820512820512,0.2763041556145004
江,2,4,1.0775862068965516,0.8012820512820512,0.2763041556145004
休,2,4,1.0775862068965516,0.8012820512820512,0.2763041556145004
遊,2,4,1.0775862068965516,0.8012820512820512,0.2763041556145004
聊,2,4,1.0775862068965516,0.8012820512820512,0.2763041556145004
納,2,4,1.0775862068965516,0.8012820512820512,0.2763041556145004
識,2,4,1.0775862068965516,0.8012820512820512,0.2763041556145004
下,2,4,1.0775862068965516,0.8012820512820512,0.2763041556145004
稱,2,4,1.0775862068965516,0.8012820512820512,0.2763041556145004
幾,2,4,1.0775862068965516,0.8012820512820512,0.2763041556145004
點,2,4,1.0775862068965516,0.8012820512820512,0.2763041556145004
稀,2,4,1.0775862068965516,0.8012820512820512,0.2763041556145004
對,6,15,3.2327586206896552,3.0048076923076925,0.22795092838196274
尋,3,7,1.6163793103448276,1.4022435897435896,0.21413572060123798
義,3,7,1.6163793103448276,1.4022435897435896,0.21413572060123798
成,4,10,2.155172413793103,2.003205128205128,0.151967285587975
開,5,13,2.6939655172413794,2.6041666666666665,0.08979885057471293
杯,5,13,2.6939655172413794,2.6041666666666665,0.08979885057471293
道,5,13,2.6939655172413794,2.6041666666666665,0.08979885057471293
合,2,5,1.0775862068965516,1.001602564102564,0.0759836427939875
披,2,5,1.0775862068965516,1.001602564102564,0.0759836427939875
西,2,5,1.0775862068965516,1.001602564102564,0.0759836427939875
顏,2,5,1.0775862068965516,1.001602564102564,0.0759836427939875
彥,2,5,1.0775862068965516,1.001602564102564,0.0759836427939875
肯,2,5,1.0775862068965516,1.001602564102564,0.0759836427939875
子,2,5,1.0775862068965516,1.001602564102564,0.0759836427939875
端,2,5,1.0775862068965516,1.001602564102564,0.0759836427939875
只,2,5,1.0775862068965516,1.001602564102564,0.0759836427939875
似,2,5,1.0775862068965516,1.001602564102564,0.0759836427939875
思,3,8,1.6163793103448276,1.6025641025641024,0.013815207780725203
同,10,27,5.387931034482759,5.408653846153846,-0.020722811671086916
眞,4,11,2.155172413793103,2.203525641025641,-0.048353227232537765
聲,4,11,2.155172413793103,2.203525641025641,-0.048353227232537765
多,4,11,2.155172413793103,2.203525641025641,-0.048353227232537765
修,2,6,1.0775862068965516,1.201923076923077,-0.12433687002652549
濟,2,6,1.0775862068965516,1.201923076923077,-0.12433687002652549
僚,2,6,1.0775862068965516,1.201923076923077,-0.12433687002652549
